Nombre;Especie;Género;Familia;Orden
;Eremodipus lichtensteini;Eremodipus;Dipodidae;RODENTIA
;Alcelaphus lichtensteinii;Alcelaphus;Bovidae;ARTIODACTYLA
;Microtus liechtensteini;Microtus;Cricetidae;RODENTIA
;Sturnira lilium;Sturnira;Phyllostomidae;CHIROPTERA
;Phyllotis limatus;Phyllotis;Cricetidae;RODENTIA
;Microtus limnophilus;Microtus;Cricetidae;RODENTIA
;Akodon lindberghi;Akodon;Cricetidae;RODENTIA
;Rousettus linduensis;Rousettus;Pteropodidae;CHIROPTERA
;Chaetodipus lineatus;Chaetodipus;Heteromyidae;RODENTIA
;Platyrrhinus lineatus;Platyrrhinus;Phyllostomidae;CHIROPTERA
;Prionodon linsang;Prionodon;Viverridae;CARNIVORA
;Lemniscomys linulus;Lemniscomys;Muridae;RODENTIA
Ardilla japonesa;Sciurus lis;Sciurus;Sciuridae;RODENTIA
;Parotomys littledalei;Parotomys;Muridae;RODENTIA
;Apomys littoralis;Apomys;Muridae;RODENTIA
;Crocidura littoralis;Crocidura;Soricidae;SORICOMORPHA
Zorro isleño;Urocyon littoralis;Urocyon;Canidae;CARNIVORA
Murciélago frugívoro grande;Artibeus lituratus;Artibeus;Phyllostomidae;CHIROPTERA
;Pteropus livingstonii;Pteropus;Pteropodidae;CHIROPTERA
;Suncus lixus;Suncus;Soricidae;SORICOMORPHA
;Tadarida lobata;Tadarida;Molossidae;CHIROPTERA
;Dremomys lokriah;Dremomys;Sciuridae;RODENTIA
;Pteropus lombocensis;Pteropus;Pteropodidae;CHIROPTERA
;Microperoryctes longicauda;Microperoryctes;Peramelidae;PERAMELEMORPHIA
;Murexia longicaudata;Murexia;Dasyuridae;DASYUROMORPHIA
;Sminthopsis longicaudata;Sminthopsis;Dasyuridae;DASYUROMORPHIA
;Microgale longicaudata;Microgale;Tenrecidae;AFROSORICIDA
;Cricetulus longicaudatus;Cricetulus;Cricetidae;RODENTIA
;Oligoryzomys longicaudatus;Oligoryzomys;Cricetidae;RODENTIA
;Hapalomys longicaudatus;Hapalomys;Muridae;RODENTIA
;Notomys longicaudatus;Notomys;Muridae;RODENTIA
;Stochomys longicaudatus;Stochomys;Muridae;RODENTIA
;Proechimys longicaudatus;Proechimys;Echimyidae;RODENTIA
;Myosorex longicaudatus;Myosorex;Soricidae;SORICOMORPHA
;Lontra longicaudis;Lontra;Mustelidae;CARNIVORA
;Arborimus longicaudus;Arborimus;Cricetidae;RODENTIA
;Microtus longicaudus;Microtus;Cricetidae;RODENTIA
;Rhagomys longilingua;Rhagomys;Cricetidae;RODENTIA
;Taphozous longimanus;Taphozous;Emballonuridae;CHIROPTERA
;Perognathus longimembris;Perognathus;Heteromyidae;RODENTIA
;Potorous longipes;Potorous;Potoroidae;DIPROTODONTIA
;Tupaia longipes;Tupaia;Tupaiidae;SCANDENTIA
;Malacomys longipes;Malacomys;Muridae;RODENTIA
;Crocidura longipes;Crocidura;Soricidae;SORICOMORPHA
;Myotis longipes;Myotis;Vespertilionidae;CHIROPTERA
;Abrothrix longipilis;Abrothrix;Cricetidae;RODENTIA
;Nesophontes longirostris;Nesophontes;Nesophontidae;SORICOMORPHA
;Sorex longirostris;Sorex;Soricidae;SORICOMORPHA
;Euroscaptor longirostris;Euroscaptor;Talpidae;SORICOMORPHA
;Glossophaga longirostris;Glossophaga;Phyllostomidae;CHIROPTERA
Delfín girador;Stenella longirostris;Stenella;Delphinidae;CETACEA
;Pteropus loochoensis;Pteropus;Pteropodidae;CHIROPTERA
;Habromys lophurus;Habromys;Cricetidae;RODENTIA
;Hypsugo lophurus;Hypsugo;Vespertilionidae;CHIROPTERA
;Neophascogale lorentzi;Neophascogale;Dasyuridae;DASYUROMORPHIA
;Paramelomys lorentzii;Paramelomys;Muridae;RODENTIA
;Pogonomys loriae;Pogonomys;Muridae;RODENTIA
;Mormopterus loriae;Mormopterus;Molossidae;CHIROPTERA
;Thallomys loringi;Thallomys;Muridae;RODENTIA
;Graphiurus lorraineus;Graphiurus;Gliridae;RODENTIA
;Salinoctomys loschalchalerosorum;Salinoctomys;Octodontidae;RODENTIA
Rata menor de Ricefield;Rattus losea;Rattus;Muridae;RODENTIA
Mapache;Procyon lotor;Procyon;Procyonidae;CARNIVORA
;Acomys louisae;Acomys;Muridae;RODENTIA
;Dendromus lovati;Dendromus;Nesomyidae;RODENTIA
;Cercopithecus lowei;Cercopithecus;Cercopithecidae;PRIMATES
;Dipodillus lowei;Dipodillus;Muridae;RODENTIA
;Ptilocercus lowii;Ptilocercus;Ptilocercidae;SCANDENTIA
;Sundasciurus lowii;Sundasciurus;Sciuridae;RODENTIA
;Penthetor lucasi;Penthetor;Pteropodidae;CHIROPTERA
;Megalomys luciae;Megalomys;Cricetidae;RODENTIA
Tití lucifer;Callicebus lucifer;Callicebus;Pitheciidae;PRIMATES
;Paraxerus lucifer;Paraxerus;Sciuridae;RODENTIA
Pequeño murciélago café;Myotis lucifugus;Myotis;Vespertilionidae;CHIROPTERA
;Crocidura lucina;Crocidura;Soricidae;SORICOMORPHA
;Dorcopsis luctuosa;Dorcopsis;Macropodidae;DIPROTODONTIA
;Rhinolophus luctus;Rhinolophus;Rhinolophidae;CHIROPTERA
;Crocidura ludia;Crocidura;Soricidae;SORICOMORPHA
;Sturnira ludovici;Sturnira;Phyllostomidae;CHIROPTERA
Perrito de las praderas de Gunnison;Cynomys ludovicianus;Cynomys;Sciuridae;RODENTIA
Viudita;Callicebus lugens;Callicebus;Pitheciidae;PRIMATES
;Lagothrix lugens;Lagothrix;Atelidae;PRIMATES
;Petinomys lugens;Petinomys;Sciuridae;RODENTIA
;Aepeomys lugens;Aepeomys;Cricetidae;RODENTIA
;Rattus lugens;Rattus;Muridae;RODENTIA
;Sturnira luisi;Sturnira;Phyllostomidae;CHIROPTERA
;Anoura luismanueli;Anoura;Phyllostomidae;CHIROPTERA
;Praomys lukolelae;Praomys;Muridae;RODENTIA
;Phalanger lullulae;Phalanger;Phalangeridae;DIPROTODONTIA
;Dendrolagus lumholtzi;Dendrolagus;Macropodidae;DIPROTODONTIA
;Crocidura luna;Crocidura;Soricidae;SORICOMORPHA
;Hybomys lunaris;Hybomys;Muridae;RODENTIA
;Sylvisorex lunaris;Sylvisorex;Soricidae;SORICOMORPHA
;Onychogalea lunata;Onychogalea;Macropodidae;DIPROTODONTIA
;Octodon lunatus;Octodon;Octodontidae;RODENTIA
Tsessebe común;Damaliscus lunatus;Damaliscus;Bovidae;ARTIODACTYLA
;Phyllomys lundi;Phyllomys;Echimyidae;RODENTIA
;Canis lupus;Canis;Canidae;CARNIVORA
;Crocidura lusitania;Crocidura;Soricidae;SORICOMORPHA
;Microtus lusitanicus;Microtus;Cricetidae;RODENTIA
;Lophuromys luteogaster;Lophuromys;Muridae;RODENTIA
Campañol topo transcaucásico;Ellobius lutescens;Ellobius;Cricetidae;RODENTIA
;Akodon lutescens;Akodon;Cricetidae;RODENTIA
;Eolagurus luteus;Eolagurus;Cricetidae;RODENTIA
;Melomys lutillus;Melomys;Muridae;RODENTIA
Nutria europea;Lutra lutra;Lutra;Mustelidae;CARNIVORA
Visón europeo;Mustela lutreola;Mustela;Mustelidae;CARNIVORA
;Mustela lutreolina;Mustela;Mustelidae;CARNIVORA
;Rattus lutreolus;Rattus;Muridae;RODENTIA
Nutria marina;Enhydra lutris;Enhydra;Mustelidae;CARNIVORA
;Archboldomys luzonensis;Archboldomys;Muridae;RODENTIA
;Bullimus luzonicus;Bullimus;Muridae;RODENTIA
;Cynopterus luzoniensis;Cynopterus;Pteropodidae;CHIROPTERA
Loris esbelto gris;Loris lydekkerianus;Loris;Lorisidae;PRIMATES
;Sorex lyelli;Sorex;Soricidae;SORICOMORPHA
;Pteropus lylei;Pteropus;Pteropodidae;CHIROPTERA
;Hipposideros lylei;Hipposideros;Hipposideridae;CHIROPTERA
Lince boreal;Lynx lynx;Lynx;Felidae;CARNIVORA
Falso vampiro del Paraguay;Megaderma lyra;Megaderma;Megadermatidae;CHIROPTERA
Lémur negro;Eulemur macaco;Eulemur;Lemuridae;PRIMATES
;Crocidura macarthuri;Crocidura;Soricidae;SORICOMORPHA
Mono aullador rojo guayanés;Alouatta macconnelli;Alouatta;Atelidae;PRIMATES
;Oryzomys macconnelli;Oryzomys;Cricetidae;RODENTIA
;Rhipidomys macconnelli;Rhipidomys;Cricetidae;RODENTIA
;Mesophylla macconnelli;Mesophylla;Phyllostomidae;CHIROPTERA
;Lemniscomys macculus;Lemniscomys;Muridae;RODENTIA
;Notopteris macdonaldi;Notopteris;Pteropodidae;CHIROPTERA
;Pseudantechinus macdonnellensis;Pseudantechinus;Dasyuridae;DASYUROMORPHIA
;Mus macedonicus;Mus;Muridae;RODENTIA
;Glauconycteris machadoi;Glauconycteris;Vespertilionidae;CHIROPTERA
;Rhinopoma macinnesi;Rhinopoma;Rhinopomatidae;CHIROPTERA
;Berylmys mackenziei;Berylmys;Muridae;RODENTIA
;Falsistrellus mackenziei;Falsistrellus;Vespertilionidae;CHIROPTERA
;Dipodillus mackilligini;Dipodillus;Muridae;RODENTIA
;Acerodon mackloti;Acerodon;Pteropodidae;CHIROPTERA
;Rhinolophus maclaudi;Rhinolophus;Rhinolophidae;CHIROPTERA
;Rattus macleari;Rattus;Muridae;RODENTIA
;Dorcopsulus macleayi;Dorcopsulus;Macropodidae;DIPROTODONTIA
;Pteronotus macleayii;Pteronotus;Mormoopidae;CHIROPTERA
;Grammomys macmillani;Grammomys;Muridae;RODENTIA
;Crocidura macmillani;Crocidura;Soricidae;SORICOMORPHA
;Crocidura macowi;Crocidura;Soricidae;SORICOMORPHA
;Hipposideros macrobullatus;Hipposideros;Hipposideridae;CHIROPTERA
;Tachyoryctes macrocephalus;Tachyoryctes;Spalacidae;RODENTIA
;Tateomys macrocercus;Tateomys;Muridae;RODENTIA
;Miniopterus macrocneme;Miniopterus;Vespertilionidae;CHIROPTERA
;Myotis macrodactylus;Myotis;Vespertilionidae;CHIROPTERA
;Sorex macrodon;Sorex;Soricidae;SORICOMORPHA
;Neovison macrodon;Neovison;Mustelidae;CARNIVORA
;Chelemys macronyx;Chelemys;Cricetidae;RODENTIA
;Macrophyllum macrophyllum;Macrophyllum;Phyllostomidae;CHIROPTERA
;Myotis macropus;Myotis;Vespertilionidae;CHIROPTERA
;Sommeromys macrorhinos;Sommeromys;Muridae;RODENTIA
;Globicephala macrorhynchus;Globicephala;Delphinidae;CETACEA
;Myotis macrotarsus;Myotis;Vespertilionidae;CHIROPTERA
;Rheithrosciurus macrotis;Rheithrosciurus;Sciuridae;RODENTIA
;Alticola macrotis;Alticola;Cricetidae;RODENTIA
;Neotoma macrotis;Neotoma;Cricetidae;RODENTIA
;Thomasomys macrotis;Thomasomys;Cricetidae;RODENTIA
;Notomys macrotis;Notomys;Muridae;RODENTIA
;Idiurus macrotis;Idiurus;Anomaluridae;RODENTIA
;Ochotona macrotis;Ochotona;Ochotonidae;LAGOMORPHA
;Pteropus macrotis;Pteropus;Pteropodidae;CHIROPTERA
;Rhinolophus macrotis;Rhinolophus;Rhinolophidae;CHIROPTERA
;Peropteryx macrotis;Peropteryx;Emballonuridae;CHIROPTERA
;Nycteris macrotis;Nycteris;Nycteridae;CHIROPTERA
;Nyctinomops macrotis;Nyctinomops;Molossidae;CHIROPTERA
;Hypsugo macrotis;Hypsugo;Vespertilionidae;CHIROPTERA
;Vulpes macrotis;Vulpes;Canidae;CARNIVORA
;Histiotus macrotus;Histiotus;Vespertilionidae;CHIROPTERA
;Sminthopsis macroura;Sminthopsis;Dasyuridae;DASYUROMORPHIA
;Ratufa macroura;Ratufa;Sciuridae;RODENTIA
;Mephitis macroura;Mephitis;Mephitidae;CARNIVORA
;Isoodon macrourus;Isoodon;Peramelidae;PERAMELEMORPHIA
;Pogonomys macrourus;Pogonomys;Muridae;RODENTIA
;Atherurus macrourus;Atherurus;Hystricidae;RODENTIA
;Makalata macrura;Makalata;Echimyidae;RODENTIA
;Thylamys macrurus;Thylamys;Didelphidae;DIDELPHIMORPHIA
;Rhipidomys macrurus;Rhipidomys;Cricetidae;RODENTIA
;Mesembriomys macrurus;Mesembriomys;Muridae;RODENTIA
;Episoriculus macrurus;Episoriculus;Soricidae;SORICOMORPHA
;Planigale maculata;Planigale;Dasyuridae;DASYUROMORPHIA
;Balionycteris maculata;Balionycteris;Pteropodidae;CHIROPTERA
;Genetta maculata;Genetta;Viverridae;CARNIVORA
;Euderma maculatum;Euderma;Vespertilionidae;CHIROPTERA
;Dasyurus maculatus;Dasyurus;Dasyuridae;DASYUROMORPHIA
;Spilocuscus maculatus;Spilocuscus;Phalangeridae;DIPROTODONTIA
;Hydrictis maculicollis;Hydrictis;Mustelidae;CARNIVORA
Aye-aye;Daubentonia madagascariensis;Daubentonia;Daubentoniidae;PRIMATES
;Suncus madagascariensis;Suncus;Soricidae;SORICOMORPHA
Murciélago de la fruta de Madagascar;Rousettus madagascariensis;Rousettus;Pteropodidae;CHIROPTERA
;Nycteris madagascariensis;Nycteris;Nycteridae;CHIROPTERA
;Otomops madagascariensis;Otomops;Molossidae;CHIROPTERA
;Pipistrellus maderensis;Pipistrellus;Vespertilionidae;CHIROPTERA
;Spermophilus madrensis;Spermophilus;Sciuridae;RODENTIA
;Peromyscus madrensis;Peromyscus;Cricetidae;RODENTIA
;Hipposideros madurae;Hipposideros;Hipposideridae;CHIROPTERA
;Rhinolophus madurensis;Rhinolophus;Rhinolophidae;CHIROPTERA
;Rhinolophus maendeleo;Rhinolophus;Rhinolophidae;CHIROPTERA
;Nectomys magdalenae;Nectomys;Cricetidae;RODENTIA
;Proechimys magdalenae;Proechimys;Echimyidae;RODENTIA
;Oligoryzomys magellanicus;Oligoryzomys;Cricetidae;RODENTIA
;Ctenomys magellanicus;Ctenomys;Ctenomyidae;RODENTIA
;Histiotus magellanicus;Histiotus;Vespertilionidae;CHIROPTERA
;Hipposideros maggietaylorae;Hipposideros;Hipposideridae;CHIROPTERA
;Dipodillus maghrebi;Dipodillus;Muridae;RODENTIA
;Neotoma magister;Neotoma;Cricetidae;RODENTIA
;Phyllotis magister;Phyllotis;Cricetidae;RODENTIA
;Cavia magna;Cavia;Caviidae;RODENTIA
;Cryptotis magna;Cryptotis;Soricidae;SORICOMORPHA
;Dobsonia magna;Dobsonia;Pteropodidae;CHIROPTERA
;Sturnira magna;Sturnira;Phyllostomidae;CHIROPTERA
;Mormoops magna;Mormoops;Mormoopidae;CHIROPTERA
;Miniopterus magnater;Miniopterus;Vespertilionidae;CHIROPTERA
;Petaurista magnificus;Petaurista;Sciuridae;RODENTIA
;Uroderma magnirostrum;Uroderma;Phyllostomidae;CHIROPTERA
;Pteropus mahaganus;Pteropus;Pteropodidae;CHIROPTERA
;Mus mahomet;Mus;Muridae;RODENTIA
;Zyzomys maini;Zyzomys;Muridae;RODENTIA
Lémur enano mayor;Cheirogaleus major;Cheirogaleus;Cheirogaleidae;PRIMATES
;Spermophilus major;Spermophilus;Sciuridae;RODENTIA
;Allactaga major;Allactaga;Dipodidae;RODENTIA
;Beamys major;Beamys;Nesomyidae;RODENTIA
;Chiropodomys major;Chiropodomys;Muridae;RODENTIA
;Macruromys major;Macruromys;Muridae;RODENTIA
;Thamnomys major;Thamnomys;Muridae;RODENTIA
;Nesophontes major;Nesophontes;Nesophontidae;SORICOMORPHA
;Eonycteris major;Eonycteris;Pteropodidae;CHIROPTERA
;Nyctimene major;Nyctimene;Pteropodidae;CHIROPTERA
;Nycteris major;Nycteris;Nycteridae;CHIROPTERA
;Phyllonycteris major;Phyllonycteris;Phyllostomidae;CHIROPTERA
;Natalus major;Natalus;Natalidae;CHIROPTERA
;Chaerephon major;Chaerephon;Molossidae;CHIROPTERA
;Eliurus majori;Eliurus;Nesomyidae;RODENTIA
;Microtus majori;Microtus;Cricetidae;RODENTIA
;Miniopterus majori;Miniopterus;Vespertilionidae;CHIROPTERA
;Nyctimene malaitensis;Nyctimene;Pteropodidae;CHIROPTERA
;Crocidura malayana;Crocidura;Soricidae;SORICOMORPHA
;Suncus malayanus;Suncus;Soricidae;SORICOMORPHA
;Rhinolophus malayanus;Rhinolophus;Rhinolophidae;CHIROPTERA
Oso malayo;Helarctos malayanus;Helarctos;Ursidae;CARNIVORA
;Oecomys mamorae;Oecomys;Cricetidae;RODENTIA
Manatí antillano;Trichechus manatus;Trichechus;Trichechidae;SIRENIA
;Miniopterus manavi;Miniopterus;Vespertilionidae;CHIROPTERA
;Lasiopodomys mandarinus;Lasiopodomys;Cricetidae;RODENTIA
;Lepus mandshuricus;Lepus;Leporidae;LAGOMORPHA
;Crocidura manengubae;Crocidura;Soricidae;SORICOMORPHA
;Callithrix manicorensis;Callithrix;Cebidae;PRIMATES
;Peromyscus maniculatus;Peromyscus;Cricetidae;RODENTIA
;Berylmys manipulus;Berylmys;Muridae;RODENTIA
;Sylvilagus mansuetus;Sylvilagus;Leporidae;LAGOMORPHA
;Phyllomys mantiqueirensis;Phyllomys;Echimyidae;RODENTIA
;Felis manul;Felis;Felidae;CARNIVORA
;Crocidura maquassiensis;Crocidura;Soricidae;SORICOMORPHA
;Oryzomys maracajuensis;Oryzomys;Cricetidae;RODENTIA
;Monodelphis maraxina;Monodelphis;Didelphidae;DIDELPHIMORPHIA
;Callithrix marcai;Callithrix;Cebidae;PRIMATES
;Solenodon marcanoi;Solenodon;Solenodontidae;SORICOMORPHA
;Mydaus marchei;Mydaus;Mephitidae;CARNIVORA
;Petrogale mareeba;Petrogale;Macropodidae;DIPROTODONTIA
;Haeromys margarettae;Haeromys;Muridae;RODENTIA
;Felis margarita;Felis;Felidae;CARNIVORA
Ballena franca pigmea;Caperea marginata;Caperea;Neobalaenidae;CETACEA
Maquisapa de cara blanca;Ateles marginatus;Ateles;Atelidae;PRIMATES
;Rusa marianna;Rusa;Cervidae;ARTIODACTYLA
;Pteropus mariannus;Pteropus;Pteropodidae;CHIROPTERA
;Gracilinanus marica;Gracilinanus;Didelphidae;DIDELPHIMORPHIA
;Oryzomys marinhus;Oryzomys;Cricetidae;RODENTIA
;Lonchorhina marinkellei;Lonchorhina;Phyllostomidae;CHIROPTERA
;Crocidura mariquensis;Crocidura;Soricidae;SORICOMORPHA
;Hipposideros marisae;Hipposideros;Hipposideridae;CHIROPTERA
Musaraña marítima;Sorex maritimensis;Sorex;Soricidae;SORICOMORPHA
;Tamiops maritimus;Tamiops;Sciuridae;RODENTIA
Oso polar;Ursus maritimus;Ursus;Ursidae;CARNIVORA
;Poelagus marjorita;Poelagus;Leporidae;LAGOMORPHA
;Abrothrix markhami;Abrothrix;Cricetidae;RODENTIA
;Amblysomus marleyi;Amblysomus;Chrysochloridae;AFROSORICIDA
;Pardofelis marmorata;Pardofelis;Felidae;CARNIVORA
;Rattus marmosurus;Rattus;Muridae;RODENTIA
Marmota alpina;Marmota marmota;Marmota;Sciuridae;RODENTIA
;Rhinolophus marshalli;Rhinolophus;Rhinolophidae;CHIROPTERA
;Didelphis marsupialis;Didelphis;Didelphidae;DIDELPHIMORPHIA
Gacela saltarina;Antidorcas marsupialis;Antidorcas;Bovidae;ARTIODACTYLA
Marta;Martes martes;Martes;Mustelidae;CARNIVORA
;Otomops martiensseni;Otomops;Molossidae;CHIROPTERA
;Neotoma martinensis;Neotoma;Cricetidae;RODENTIA
;Pseudopotto martini;Pseudopotto;Lorisidae;PRIMATES
;Myotis martiniquensis;Myotis;Vespertilionidae;CHIROPTERA
;Saguinus martinsi;Saguinus;Cebidae;PRIMATES
;Nyctimene masalai;Nyctimene;Pteropodidae;CHIROPTERA
;Sigmodon mascotensis;Sigmodon;Cricetidae;RODENTIA
;Rhipidomys mastacalis;Rhipidomys;Cricetidae;RODENTIA
;Phalanger matabiru;Phalanger;Phalangeridae;DIPROTODONTIA
Corechi;Tolypeutes matacus;Tolypeutes;Dasypodidae;CINGULATA
;Orthogeomys matagalpae;Orthogeomys;Geomyidae ;RODENTIA
;Melomys matambuai;Melomys;Muridae;RODENTIA
;Phalanger matanim;Phalanger;Phalangeridae;DIPROTODONTIA
;Eptesicus matroka;Eptesicus;Vespertilionidae;CHIROPTERA
Canguro arborícola de Huon;Dendrolagus matschiei;Dendrolagus;Macropodidae;DIPROTODONTIA
;Galago matschiei;Galago;Galagidae;PRIMATES
;Micronycteris matses;Micronycteris;Phyllostomidae;CHIROPTERA
;Mus mattheyi;Mus;Muridae;RODENTIA
;Molossops mattogrossensis;Molossops;Molossidae;CHIROPTERA
;Callithrix mauesi;Callithrix;Cebidae;PRIMATES
;Ctenomys maulinus;Ctenomys;Ctenomyidae;RODENTIA
Macaco moro;Macaca maura;Macaca;Cercopithecidae;PRIMATES
;Crocidura maurisca;Crocidura;Soricidae;SORICOMORPHA
;Gerbillus mauritaniae;Gerbillus;Muridae;RODENTIA
;Taphozous mauritianus;Taphozous;Emballonuridae;CHIROPTERA
;Eumops maurus;Eumops;Molossidae;CHIROPTERA
;Sundamys maxi;Sundamys;Muridae;RODENTIA
;Crocidura maxi;Crocidura;Soricidae;SORICOMORPHA
;Paracrocidura maxima;Paracrocidura;Soricidae;SORICOMORPHA
;Centronycteris maximiliani;Centronycteris;Emballonuridae;CHIROPTERA
;Microtus maximowiczii;Microtus;Cricetidae;RODENTIA
Elefante asiático;Elephas maximus;Elephas;Elephantidae;PROBOSCIDEA
;Priodontes maximus;Priodontes;Dasypodidae;CINGULATA
;Otomys maximus;Otomys;Muridae;RODENTIA
Vizcacha común;Lagostomus maximus;Lagostomus;Chinchillidae;RODENTIA
Duiker de Maxwell;Philantomba maxwellii;Philantomba;Bovidae;ARTIODACTYLA
;Peromyscus mayensis;Peromyscus;Cricetidae;RODENTIA
;Cryptotis mayensis;Cryptotis;Soricidae;SORICOMORPHA
;Pseudochirulus mayeri;Pseudochirulus;Pseudocheiridae;DIPROTODONTIA
;Pogonomelomys mayeri;Pogonomelomys;Muridae;RODENTIA
;Mus mayori;Mus;Muridae;RODENTIA
;Thomomys mazama;Thomomys;Geomyidae ;RODENTIA
;Dendrolagus mbaiso;Dendrolagus;Macropodidae;DIPROTODONTIA
;Tamiops mcclellandii;Tamiops;Sciuridae;RODENTIA
;Philander mcilhennyi;Philander;Didelphidae;DIDELPHIMORPHIA
;Tamiasciurus mearnsi;Tamiasciurus;Sciuridae;RODENTIA
;Saccostomus mearnsi;Saccostomus;Nesomyidae;RODENTIA
;Cryptomys mechowi;Cryptomys;Bathyergidae;RODENTIA
;Cryptotis medellinia;Cryptotis;Soricidae;SORICOMORPHA
;Callicebus medemi;Callicebus;Pitheciidae;PRIMATES
;Lophuromys medicaudatus;Lophuromys;Muridae;RODENTIA
Lémur enano de cola gruesa;Cheirogaleus medius;Cheirogaleus;Cheirogaleidae;PRIMATES
;Phyllomys medius;Phyllomys;Echimyidae;RODENTIA
Zorro volador de la India;Pteropus medius;Pteropus;Pteropodidae;CHIROPTERA
;Miniopterus medius;Miniopterus;Vespertilionidae;CHIROPTERA
;Microdipodops megacephalus;Microdipodops;Heteromyidae;RODENTIA
;Oryzomys megacephalus;Oryzomys;Cricetidae;RODENTIA
Cobo del Nilo;Kobus megaceros;Kobus;Bovidae;ARTIODACTYLA
;Chelemys megalonyx;Chelemys;Cricetidae;RODENTIA
;Mormoops megalophylla;Mormoops;Mormoopidae;CHIROPTERA
;Peromyscus megalops;Peromyscus;Cricetidae;RODENTIA
;Reithrodontomys megalotis;Reithrodontomys;Cricetidae;RODENTIA
;Hylomys megalotis;Hylomys;Erinaceidae;ERINACEOMORPHA
;Hipposideros megalotis;Hipposideros;Hipposideridae;CHIROPTERA
;Paracoelops megalotis;Paracoelops;Hipposideridae;CHIROPTERA
;Micronycteris megalotis;Micronycteris;Phyllostomidae;CHIROPTERA
Zorro orejudo;Otocyon megalotis;Otocyon;Canidae;CARNIVORA
;Dorcatragus megalotis;Dorcatragus;Bovidae;ARTIODACTYLA
;Dactylopsila megalura;Dactylopsila;Petauridae;DIPROTODONTIA
;Suncus megalura;Suncus;Soricidae;SORICOMORPHA
;Rhinolophus megaphyllus;Rhinolophus;Rhinolophidae;CHIROPTERA
;Viverra megaspila;Viverra;Viverridae;CARNIVORA
;Rhinolophus mehelyi;Rhinolophus;Rhinolophidae;CHIROPTERA
;Hylochoerus meinertzhageni;Hylochoerus;Suidae;ARTIODACTYLA
;Peromyscus mekisturus;Peromyscus;Cricetidae;RODENTIA
;Presbytis melalophos;Presbytis;Cercopithecidae;PRIMATES
;Martes melampus;Martes;Mustelidae;CARNIVORA
Impala;Aepyceros melampus;Aepyceros;Bovidae;ARTIODACTYLA
;Crunomys melanius;Crunomys;Muridae;RODENTIA
;Peromyscus melanocarpus;Peromyscus;Cricetidae;RODENTIA
Uacarí de cabeza negra;Cacajao melanocephalus;Cacajao;Pitheciidae;PRIMATES
;Chironax melanocephalus;Chironax;Pteropodidae;CHIROPTERA
;Callicebus melanochir;Callicebus;Pitheciidae;PRIMATES
;Callosciurus melanogaster;Callosciurus;Sciuridae;RODENTIA
;Eothenomys melanogaster;Eothenomys;Cricetidae;RODENTIA
Oso panda;Ailuropoda melanoleuca;Ailuropoda;Ursidae;CARNIVORA
;Saguinus melanoleucus;Saguinus;Cebidae;PRIMATES
;Lophuromys melanonyx;Lophuromys;Muridae;RODENTIA
Ratón de meseta;Peromyscus melanophrys;Peromyscus;Cricetidae;RODENTIA
;Pteropus melanopogon;Pteropus;Pteropodidae;CHIROPTERA
Murciélago barbinegro de tumba;Taphozous melanopogon;Taphozous;Emballonuridae;CHIROPTERA
;Scolomys melanops;Scolomys;Cricetidae;RODENTIA
;Melonycteris melanops;Melonycteris;Pteropodidae;CHIROPTERA
;Aeretes melanopterus;Aeretes;Sciuridae;RODENTIA
;Myotis melanorhinus;Myotis;Vespertilionidae;CHIROPTERA
;Ailurops melanotis;Ailurops;Phalangeridae;DIPROTODONTIA
;Nannosciurus melanotis;Nannosciurus;Sciuridae;RODENTIA
;Dendromus melanotis;Dendromus;Nesomyidae;RODENTIA
;Peromyscus melanotis;Peromyscus;Cricetidae;RODENTIA
;Oryzomys melanotis;Oryzomys;Cricetidae;RODENTIA
;Raphicerus melanotis;Raphicerus;Bovidae;ARTIODACTYLA
;Pteropus melanotus;Pteropus;Pteropodidae;CHIROPTERA
;Dendrogale melanura;Dendrogale;Tupaiidae;SCANDENTIA
;Callithrix melanura;Callithrix;Cebidae;PRIMATES
;Murexechinus melanurus;Murexechinus;Dasyuridae;DASYUROMORPHIA
;Eliomys melanurus;Eliomys;Gliridae;RODENTIA
;Peromyscus melanurus;Peromyscus;Cricetidae;RODENTIA
;Carpomys melanurus;Carpomys;Muridae;RODENTIA
;Pithecheir melanurus;Pithecheir;Muridae;RODENTIA
;Sphiggurus melanurus;Sphiggurus;Erethizontidae;RODENTIA
;Mesocapromys melanurus;Mesocapromys;Capromyidae;RODENTIA
;Myoictis melas;Myoictis;Dasyuridae;DASYUROMORPHIA
Calderón común;Globicephala melas;Globicephala;Delphinidae;CETACEA
;Neoromicia melckorum;Neoromicia;Vespertilionidae;CHIROPTERA
Tejón;Meles meles;Meles;Mustelidae;CARNIVORA
;Vampyressa melissa;Vampyressa;Phyllostomidae;CHIROPTERA
;Rhynchogale melleri;Rhynchogale;Herpestidae;CARNIVORA
;Millardia meltada;Millardia;Muridae;RODENTIA
;Moschiola meminna;Moschiola;Tragulidae;ARTIODACTYLA
;Ctenomys mendocinus;Ctenomys;Ctenomyidae;RODENTIA
;Marmota menzbieri;Marmota;Sciuridae;RODENTIA
;Pudu mephistophiles;Pudu;Cervidae;ARTIODACTYLA
Mofeta;Mephitis mephitis;Mephitis;Mephitidae;CARNIVORA
;Cryptotis mera;Cryptotis;Soricidae;SORICOMORPHA
